Key,id
Useful link updated successfully!,Tautan berguna berhasil diperbarui!
Section item added successfully!,Item bagian berhasil ditambahkan!
Section item delete successfully!,Item bagian berhasil dihapus!
Onboard Screen Added Successfully!,Layar Panduan Berhasil Ditambahkan!
Onboard screen status updated successfully!.,Status layar panduan berhasil diperbarui!
Onboard screen information updated successfully!,Informasi layar panduan berhasil diperbarui!
Screen deleted successfully!,Layar berhasil dihapus!
Admin information updated successfully!,Informasi admin berhasil diperbarui!
New admin created successfully!,Admin baru berhasil dibuat!
Admin status updated successfully!,Status admin berhasil diperbarui!
Admin role created successfully!,Peran admin berhasil dibuat!
Admin role updated successfully!,Peran admin berhasil diperbarui!
Admin role deleted successfully!,Peran admin berhasil dihapus!
Permission created successfully!,Izin berhasil dibuat!
Permission updated successfully!,Izin berhasil diperbarui!
Permission deleted successfully!,Izin berhasil dihapus!
Permission assign successfully!,Izin berhasil ditetapkan!
Admin deleted successfully!,Admin berhasil dihapus!
Mail successfully sended,Email berhasil dikirim
Basic settings updated successfully!,Pengaturan dasar berhasil diperbarui!
FIAT,FIAT
CRYPTO,KRIPTO
Successfully updated the information.,Informasi berhasil diperbarui.
Language updated successfully!,Bahasa berhasil diperbarui!
UST,UST
Login Successfully,Login Berhasil
Please check email and verify your account,Silakan cek email dan verifikasi akun kamu
Registration successful,Pendaftaran berhasil
The credentials does not match,Kredensial tidak cocok
Account Has been Suspended,Akun telah ditangguhkan
Verification code send success,Kode verifikasi berhasil dikirim
Verification code does not match,Kode verifikasi tidak cocok
Logout Successful,Logout Berhasil
Verification otp code sended to your email address.,Kode OTP verifikasi dikirim ke email kamu
Verification OTP invalid,OTP verifikasi tidak valid
OTP verification successful,Verifikasi OTP berhasil
Oops password does not match.,"Oops, kata sandi tidak cocok."
Invalid Request. Please try again,"Permintaan tidak valid. Coba lagi, ya"
Extension has been udpate successfully,Ekstensi berhasil diperbarui
Language switch successfully!,Berhasil mengganti bahasa!
Top Up Updated Successfully,Isi Saldo Berhasil Diperbarui
Select Category,Pilih Kategori
Blog Edit,Edit Blog
Blog item updated successfully!,Item blog berhasil diperbarui!
FAQ Section,Bagian FAQ
Add FAQ,Tambah FAQ
Edit FAQ,Edit FAQ
Blog Section,Bagian Blog
Setup Blog Category,Atur Kategori Blog
Recharge Section,Bagian Isi Ulang
Header Section,Bagian Header
Header Floting Section,Bagian Header Mengambang
Services Section,Bagian Layanan
Donation Section,Bagian Donasi
Why Choose Section,Bagian Kenapa Memilih
Solutions Section,Bagian Solusi
Best Item Section,Bagian Item Terbaik
Latest Item Section,Bagian Item Terbaru
Edit Social Link,Edit Tautan Sosial
Language Information,Informasi Bahasa
Language Keywords of English,Kata Kunci Bahasa Inggris
Language,Bahasa
